title,developer,app_size(MB),category_code,category,review_num,review_score,version,lang,lang_num,pricing,price(won),release_year,app_url
Minecraft,Mojang,319.0,6014,게임,13000,3.5,10.0,"한국어, 독일어, 러시아어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 포르투갈어, 프랑스어",11,paid,8900,2011,https://apps.apple.com/kr/app/id479516143
FAR: Lone Sails,Mixtvision Mediengesellschaft mbH,625.2,6014,게임,15,4.7,10.0,영어,1,paid,4900,2020,https://apps.apple.com/kr/app/id1525515023
Human: Fall Flat,"505 Games (US), Inc.",1100.0,6014,게임,155,2.8,8.0,영어,1,paid,5900,2019,https://apps.apple.com/kr/app/id1438091392
FiLMiC Pro - 수동 비디오 카메라 어플,FiLMiC Inc,61.7,6008,사진 및 비디오,345,3.2,13.0,"한국어, 독일어, 러시아어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 포르투갈어, 프랑스어",11,paid,19000,2011,https://apps.apple.com/kr/app/id436577167
ilSang Pro,ByungHo Yu,45.7,6008,사진 및 비디오,3000,4.5,12.1,영어,1,paid,2500,2018,https://apps.apple.com/kr/app/id1400792124
Analog Budapest,ordinaryfactory Inc.,30.7,6008,사진 및 비디오,713,3.4,9.3,영어,1,paid,1200,2015,https://apps.apple.com/kr/app/id1035220162
Juicy Realm,X.D. Network Inc.,332.1,6014,게임,252,4.6,9.0,"한국어, 영어, 일본어, 중국어, 중국어(번체)",5,paid,3900,2020,https://apps.apple.com/kr/app/id1453808408
레이튼 교수와 이상한 마을 HD,Level-5 Inc.,480.2,6014,게임,379,4.3,8.0,한국어,1,paid,12000,2018,https://apps.apple.com/kr/app/id1361526136
위플 가계부 Pro,bumblebee,91.9,6015,금융,3300,4.7,9.0,"한국어, 독일어, 영어, 일본어, 중국어(간체)",5,paid,3900,2011,https://apps.apple.com/kr/app/id441683476
NightCap 카메라,Realtime Dreams Limited,6.7,6008,사진 및 비디오,97,3.9,11.0,"한국어, 독일어, 러시아어, 스페인어, 영어, 이탈리아어, 일본어, 중국어(간체), 중국어(번체), 태국어, 포르투갈어, 프랑스어",12,paid,3900,2013,https://apps.apple.com/kr/app/id754105884
kirakira+,bytes inc.,1.2,6008,사진 및 비디오,1400,4.5,11.1,"영어, 일본어",2,paid,1200,2015,https://apps.apple.com/kr/app/id955687901
삼국지천하포무,SLGames,140.8,6014,게임,51,4.2,11.0,"한국어, 일본어, 중국어, 중국어(간체), 중국어(번체)",5,paid,500,2020,https://apps.apple.com/kr/app/id1450144092
